Ime;Japonsko ime;Klasifikacija;Napad;Obramba;Višina (m);Masa (kg);HP;Hitrost;Tip 1;Tip 2;Generacija;Legendaren
Palpitoad;Gamagaruガマガル;Vibration Pokémon;65;55;0,8;17,0;75;69;water;ground;5;0
Seismitoad;Gamagerogeガマゲロゲ;Vibration Pokémon;95;75;1,5;62,0;105;74;water;ground;5;0
Throh;Nagekiナゲキ;Judo Pokémon;100;85;1,3;55,5;120;45;fighting;;5;0
Sawk;Dagekiダゲキ;Karate Pokémon;125;75;1,4;51,0;75;85;fighting;;5;0
Sewaddle;Kurumiruクルミル;Sewing Pokémon;53;70;0,3;2,5;45;42;bug;grass;5;0
Swadloon;Kurumayuクルマユ;Leaf-Wrapped Pokémon;63;90;0,5;7,3;55;42;bug;grass;5;0
Leavanny;Hahakomoriハハコモリ;Nurturing Pokémon;103;80;1,2;20,5;75;92;bug;grass;5;0
Venipede;Fushideフシデ;Centipede Pokémon;45;59;0,4;5,3;30;57;bug;poison;5;0
Whirlipede;Wheegaホイーガ;Curlipede Pokémon;55;99;1,2;58,5;40;47;bug;poison;5;0
Scolipede;Pendrorペンドラー;Megapede Pokémon;100;89;2,5;200,5;60;112;bug;poison;5;0
Cottonee;Monmenモンメン;Cotton Puff Pokémon;27;60;0,3;0,6;40;66;grass;fairy;5;0
Whimsicott;Elfuunエルフーン;Windveiled Pokémon;67;85;0,7;6,6;60;116;grass;fairy;5;0
Petilil;Churineチュリネ;Bulb Pokémon;35;50;0,5;6,6;45;30;grass;;5;0
Lilligant;Dredearドレディア;Flowering Pokémon;60;75;1,1;16,3;70;90;grass;;5;0
Basculin;Bassraoバスラオ;Hostile Pokémon;92;65;1,0;18,0;70;98;water;;5;0
Sandile;Megurocoメグロコ;Desert Croc Pokémon;72;35;0,7;15,2;50;65;ground;dark;5;0
Krokorok;Waruvileワルビル;Desert Croc Pokémon;82;45;1,0;33,4;60;74;ground;dark;5;0
Krookodile;Waruvialワルビアル;Intimidation Pokémon;117;80;1,5;96,3;95;92;ground;dark;5;0
Darumaka;Darumakkaダルマッカ;Zen Charm Pokémon;90;45;0,6;37,5;70;50;fire;;5;0
Darmanitan;Hihidarumaヒヒダルマ;Blazing Pokémon;30;105;1,3;92,9;105;55;fire;fire;5;0
Maractus;Maracacchiマラカッチ;Cactus Pokémon;86;67;1,0;28,0;75;60;grass;;5;0
Dwebble;Ishizumaiイシズマイ;Rock Inn Pokémon;65;85;0,3;14,5;50;55;bug;rock;5;0
Crustle;Iwapalaceイワパレス;Stone Home Pokémon;105;125;1,4;200,0;70;45;bug;rock;5;0
Scraggy;Zurugguズルッグ;Shedding Pokémon;75;70;0,6;11,8;50;48;dark;fighting;5;0
Scrafty;Zuruzukinズルズキン;Hoodlum Pokémon;90;115;1,1;30,0;65;58;dark;fighting;5;0
Sigilyph;Symbolerシンボラー;Avianoid Pokémon;58;80;1,4;14,0;72;97;psychic;flying;5;0
Yamask;Desumasuデスマス;Spirit Pokémon;30;85;0,5;1,5;38;30;ghost;;5;0
Cofagrigus;Desukarnデスカーン;Coffin Pokémon;50;145;1,7;76,5;58;30;ghost;;5;0
Tirtouga;Protogaプロトーガ;Prototurtle Pokémon;78;103;0,7;16,5;54;22;water;rock;5;0
Carracosta;Abagouraアバゴーラ;Prototurtle Pokémon;108;133;1,2;81,0;74;32;water;rock;5;0
Archen;Archenアーケン;First Bird Pokémon;112;45;0,5;9,5;55;70;rock;flying;5;0
Archeops;Archeosアーケオス;First Bird Pokémon;140;65;1,4;32,0;75;110;rock;flying;5;0
Trubbish;Yabukuronヤブクロン;Trash Bag Pokémon;50;62;0,6;31,0;50;65;poison;;5;0
Garbodor;Dustdasダストダス;Trash Heap Pokémon;95;82;1,9;107,3;80;75;poison;;5;0
Zorua;Zoruaゾロア;Tricky Fox Pokémon;65;40;0,7;12,5;40;65;dark;;5;0
Zoroark;Zoroarkゾロアーク;Illusion Fox Pokémon;105;60;1,6;81,1;60;105;dark;;5;0
Minccino;Chillarmyチラーミィ;Chinchilla Pokémon;50;40;0,4;5,8;55;75;normal;;5;0
Cinccino;Chillaccinoチラチーノ;Scarf Pokémon;95;60;0,5;7,5;75;115;normal;;5;0
Gothita;Gothimuゴチム;Fixation Pokémon;30;50;0,4;5,8;45;45;psychic;;5;0
Gothorita;Gothimiruゴチミル;Manipulate Pokémon;45;70;0,7;18,0;60;55;psychic;;5;0
Gothitelle;Gothiruselleゴチルゼル;Astral Body Pokémon;55;95;1,5;44,0;70;65;psychic;;5;0
Solosis;Uniranユニラン;Cell Pokémon;30;40;0,3;1,0;45;20;psychic;;5;0
Duosion;Doublanダブラン;Mitosis Pokémon;40;50;0,6;8,0;65;30;psychic;;5;0
Reuniclus;Lanculusランクルス;Multiplying Pokémon;65;75;1,0;20,1;110;30;psychic;;5;0
Ducklett;Koaruhieコアルヒー;Water Bird Pokémon;44;50;0,5;5,5;62;55;water;flying;5;0
Swanna;Swannaスワンナ;White Bird Pokémon;87;63;1,3;24,2;75;98;water;flying;5;0
Vanillite;Vanipetiバニプッチ;Fresh Snow Pokémon;50;50;0,4;5,7;36;44;ice;;5;0
Vanillish;Vanirichバニリッチ;Icy Snow Pokémon;65;65;1,1;41,0;51;59;ice;;5;0
Vanilluxe;Baivanillaバイバニラ;Snowstorm Pokémon;95;85;1,3;57,5;71;79;ice;;5;0
Deerling;Shikijikaシキジカ;Season Pokémon;60;50;0,6;19,5;60;75;normal;grass;5;0
Sawsbuck;Mebukijikaメブキジカ;Season Pokémon;100;70;1,9;92,5;80;95;normal;grass;5;0
Emolga;Emongaエモンガ;Sky Squirrel Pokémon;75;60;0,4;5,0;55;103;electric;flying;5;0
Karrablast;Kaburumoカブルモ;Clamping Pokémon;75;45;0,5;5,9;50;60;bug;;5;0
Escavalier;Chevargoシュバルゴ;Cavalry Pokémon;135;105;1,0;33,0;70;20;bug;steel;5;0
Foongus;Tamagetakeタマゲタケ;Mushroom Pokémon;55;45;0,2;1,0;69;15;grass;poison;5;0
Amoonguss;Morobareruモロバレル;Mushroom Pokémon;85;70;0,6;10,5;114;30;grass;poison;5;0
Frillish;Pururillプルリル;Floating Pokémon;40;50;1,2;33,0;55;40;water;ghost;5;0
Jellicent;Burungelブルンゲル;Floating Pokémon;60;70;2,2;135,0;100;60;water;ghost;5;0
Alomomola;Mamanbouママンボウ;Caring Pokémon;75;80;1,2;31,6;165;65;water;;5;0
Joltik;Bachuruバチュル;Attaching Pokémon;47;50;0,1;0,6;50;65;bug;electric;5;0
Galvantula;Dentulaデンチュラ;EleSpider Pokémon;77;60;0,8;14,3;70;108;bug;electric;5;0
Ferroseed;Tesseedテッシード;Thorn Seed Pokémon;50;91;0,6;18,8;44;10;grass;steel;5;0
Ferrothorn;Nutreyナットレイ;Thorn Pod Pokémon;94;131;1,0;110,0;74;20;grass;steel;5;0
Klink;Giaruギアル;Gear Pokémon;55;70;0,3;21,0;40;30;steel;;5;0
Klang;Gigiaruギギアル;Gear Pokémon;80;95;0,6;51,0;60;50;steel;;5;0
Klinklang;Gigigiaruギギギアル;Gear Pokémon;100;115;0,6;81,0;60;90;steel;;5;0
Tynamo;Shibishirasuシビシラス;EleFish Pokémon;55;40;0,2;0,3;35;60;electric;;5;0
Eelektrik;Shibibeelシビビール;EleFish Pokémon;85;70;1,2;22,0;65;40;electric;;5;0
Eelektross;Shibirudonシビルドン;EleFish Pokémon;115;80;2,1;80,5;85;50;electric;;5;0
Elgyem;Ligrayリグレー;Cerebral Pokémon;55;55;0,5;9,0;55;30;psychic;;5;0
Beheeyem;Ohbemオーベム;Cerebral Pokémon;75;75;1,0;34,5;75;40;psychic;;5;0
Litwick;Hitomoshiヒトモシ;Candle Pokémon;30;55;0,3;3,1;50;20;ghost;fire;5;0
Lampent;Lamplerランプラー;Lamp Pokémon;40;60;0,6;13,0;60;55;ghost;fire;5;0
Chandelure;Chandelaシャンデラ;Luring Pokémon;55;90;1,0;34,3;60;80;ghost;fire;5;0
Axew;Kibagoキバゴ;Tusk Pokémon;87;60;0,6;18,0;46;57;dragon;;5;0
Fraxure;Onondoオノンド;Axe Jaw Pokémon;117;70;1,0;36,0;66;67;dragon;;5;0
Haxorus;Ononokusオノノクス;Axe Jaw Pokémon;147;90;1,8;105,5;76;97;dragon;;5;0
Cubchoo;Kumasyunクマシュン;Chill Pokémon;70;40;0,5;8,5;55;40;ice;;5;0
Beartic;Tunbearツンベアー;Freezing Pokémon;130;80;2,6;260,0;95;50;ice;;5;0
Cryogonal;Freegeoフリージオ;Crystallizing Pokémon;50;50;1,1;148,0;80;105;ice;;5;0
Shelmet;Chobomakiチョボマキ;Snail Pokémon;40;85;0,4;7,7;50;25;bug;;5;0
Accelgor;Agilderアギルダー;Shell Out Pokémon;70;40;0,8;25,3;80;145;bug;;5;0
Stunfisk;Maggyoマッギョ;Trap Pokémon;66;84;0,7;11,0;109;32;ground;electric;5;0
Mienfoo;Kojofuコジョフー;Martial Arts Pokémon;85;50;0,9;20,0;45;65;fighting;;5;0
Mienshao;Kojondoコジョンド;Martial Arts Pokémon;125;60;1,4;35,5;65;105;fighting;;5;0
Druddigon;Crimganクリムガン;Cave Pokémon;120;90;1,6;139,0;77;48;dragon;;5;0
Golett;Gobitゴビット;Automaton Pokémon;74;50;1,0;92,0;59;35;ground;ghost;5;0
Golurk;Goloogゴルーグ;Automaton Pokémon;124;80;2,8;330,0;89;55;ground;ghost;5;0
Pawniard;Komatanaコマタナ;Sharp Blade Pokémon;85;70;0,5;10,2;45;60;dark;steel;5;0
Bisharp;Kirikizanキリキザン;Sword Blade Pokémon;125;100;1,6;70,0;65;70;dark;steel;5;0
Bouffalant;Buffronバッフロン;Bash Buffalo Pokémon;110;95;1,6;94,6;95;55;normal;;5;0
Rufflet;Washibonワシボン;Eaglet Pokémon;83;50;0,5;10,5;70;60;normal;flying;5;0
Braviary;Warrgleウォーグル;Valiant Pokémon;123;75;1,5;41,0;100;80;normal;flying;5;0
Vullaby;Valchaiバルチャイ;Diapered Pokémon;55;75;0,5;9,0;70;60;dark;flying;5;0
Mandibuzz;Vulginaバルジーナ;Bone Vulture Pokémon;65;105;1,2;39,5;110;80;dark;flying;5;0
Heatmor;Kuitaranクイタラン;Anteater Pokémon;97;66;1,4;58,0;85;65;fire;;5;0
Durant;Aiantアイアント;Iron Ant Pokémon;109;112;0,3;33,0;58;109;bug;steel;5;0
Deino;Monozuモノズ;Irate Pokémon;65;50;0,8;17,3;52;38;dark;dragon;5;0
Zweilous;Diheadジヘッド;Hostile Pokémon;85;70;1,4;50,0;72;58;dark;dragon;5;0
Hydreigon;Sazandoraサザンドラ;Brutal Pokémon;105;90;1,8;160,0;92;98;dark;dragon;5;0
Larvesta;Merlarvaメラルバ;Torch Pokémon;85;55;1,1;28,8;55;60;bug;fire;5;0
Volcarona;Ulgamothウルガモス;Sun Pokémon;60;65;1,6;46,0;85;100;bug;fire;5;0
Cobalion;Cobalonコバルオン;Iron Will Pokémon;90;129;2,1;250,0;91;108;steel;fighting;5;1
Terrakion;Terrakionテラキオン;Cavern Pokémon;129;90;1,9;260,0;91;108;rock;fighting;5;1
Virizion;Virizionビリジオン;Grassland Pokémon;90;72;2,0;200,0;91;108;grass;fighting;5;1
Tornadus;Tornelos (keshin Forme)トルネロス;Cyclone Pokémon;100;80;1,5;63,0;79;121;flying;;5;1
Thundurus;Voltolos (keshin Forme)ボルトロス;Bolt Strike Pokémon;105;70;1,5;61,0;79;101;electric;flying;5;1
Reshiram;Reshiramレシラム;Vast White Pokémon;120;100;3,2;330,0;100;90;dragon;fire;5;1
Zekrom;Zekromゼクロム;Deep Black Pokémon;150;120;2,9;345,0;100;90;dragon;electric;5;1
Landorus;Landlos (keshin Forme)ランドロス;Abundance Pokémon;145;90;1,5;68,0;89;91;ground;flying;5;1
Kyurem;Kyuremキュレム;Boundary Pokémon;120;90;3,0;325,0;125;95;dragon;ice;5;1
Keldeo;Keldeo (itsumo No Sugata)ケルディオ;Colt Pokémon;72;90;1,4;48,5;91;108;water;fighting;5;1
Meloetta;Meloetta (step Forme)メロエッタ;Melody Pokémon;128;90;0,6;6,5;100;128;normal;psychic;5;1
Genesect;Genesectゲノセクト;Paleozoic Pokémon;120;95;1,5;82,5;71;99;bug;steel;5;1
Chespin;Harimaronハリマロン;Spiky Nut Pokémon;61;65;0,4;9,0;56;38;grass;;6;0
Quilladin;Hariborgハリボーグ;Spiny Armor Pokémon;78;95;0,7;29,0;61;57;grass;;6;0
Chesnaught;Brigarronブリガロン;Spiny Armor Pokémon;107;122;1,6;90,0;88;64;grass;fighting;6;0
Fennekin;Fokkoフォッコ;Fox Pokémon;45;40;0,4;9,4;40;60;fire;;6;0
Braixen;Tairenarテールナー;Fox Pokémon;59;58;1,0;14,5;59;73;fire;;6;0
Delphox;Mahoxyマフォクシー;Fox Pokémon;69;72;1,5;39,0;75;104;fire;psychic;6;0
Froakie;Keromatsuケロマツ;Bubble Frog Pokémon;56;40;0,3;7,0;41;71;water;;6;0
Frogadier;Gekogashiraゲコガシラ;Bubble Frog Pokémon;63;52;0,6;10,9;54;97;water;;6;0
Greninja;Gekkougaゲッコウガ;Ninja Pokémon;145;67;1,5;40,0;72;132;water;dark;6;0
Bunnelby;Horubeeホルビー;Digging Pokémon;36;38;0,4;5,0;38;57;normal;;6;0
Diggersby;Horudoホルード;Digging Pokémon;56;77;1,0;42,4;85;78;normal;ground;6;0
Fletchling;Yayakomaヤヤコマ;Tiny Robin Pokémon;50;43;0,3;1,7;45;62;normal;flying;6;0
Fletchinder;Hinoyakomaヒノヤコマ;Ember Pokémon;73;55;0,7;16,0;62;84;fire;flying;6;0
Talonflame;Fiarrowファイアロー;Scorching Pokémon;81;71;1,2;24,5;78;126;fire;flying;6;0
Scatterbug;Kofukimushiコフキムシ;Scatterdust Pokémon;35;40;0,3;2,5;38;35;bug;;6;0
Spewpa;Kofuuraiコフーライ;Scatterdust Pokémon;22;60;0,3;8,4;45;29;bug;;6;0
Vivillon;Viviyonビビヨン;Scale Pokémon;52;50;1,2;17,0;80;89;bug;flying;6;0
Litleo;Shishikoシシコ;Lion Cub Pokémon;50;58;0,6;13,5;62;72;fire;normal;6;0
Pyroar;Kaenjishiカエンジシ;Royal Pokémon;68;72;1,5;81,5;86;106;fire;normal;6;0
Flabébé;Flabebeフラベベ;Single Bloom Pokémon;38;39;0,1;0,1;44;42;fairy;;6;0
Floette;Floetteフラエッテ;Fairy Pokémon;65;67;0,2;0,9;74;92;fairy;;6;0
Florges;Florgesフラージェス;Garden Pokémon;65;68;1,1;10,0;78;75;fairy;;6;0
Skiddo;Meecleメェークル;Mount Pokémon;65;48;0,9;31,0;66;52;grass;;6;0
Gogoat;Gogoatゴーゴート;Mount Pokémon;100;62;1,7;91,0;123;68;grass;;6;0
Pancham;Yanchamヤンチャム;Playful Pokémon;82;62;0,6;8,0;67;43;fighting;;6;0
Pangoro;Gorondaゴロンダ;Daunting Pokémon;124;78;2,1;136,0;95;58;fighting;dark;6;0
Furfrou;Trimmienトリミアン;Poodle Pokémon;80;60;1,2;28,0;75;102;normal;;6;0
Espurr;Nyasperニャスパー;Restraint Pokémon;48;54;0,3;3,5;62;68;psychic;;6;0
Meowstic;Nyaonixニャオニクス;Constraint Pokémon;48;76;0,6;8,5;74;104;psychic;;6;0
Honedge;Hitotsukiヒトツキ;Sword Pokémon;80;100;0,8;2,0;45;28;steel;ghost;6;0
Doublade;Nidangillニダンギル;Sword Pokémon;110;150;0,8;4,5;59;35;steel;ghost;6;0
Aegislash;Gillgardギルガルド;Royal Sword Pokémon;150;50;1,7;53,0;60;60;steel;ghost;6;0
Spritzee;Shushupuシュシュプ;Perfume Pokémon;52;60;0,2;0,5;78;23;fairy;;6;0
Aromatisse;Frefuwanフレフワン;Fragrance Pokémon;72;72;0,8;15,5;101;29;fairy;;6;0
Swirlix;Peroppafuペロッパフ;Cotton Candy Pokémon;48;66;0,4;3,5;62;49;fairy;;6;0
Slurpuff;Peroreamペロリーム;Meringue Pokémon;80;86;0,8;5,0;82;72;fairy;;6;0
Inkay;Maaiikaマーイーカ;Revolving Pokémon;54;53;0,4;3,5;53;45;dark;psychic;6;0
Malamar;Calamaneroカラマネロ;Overturning Pokémon;92;88;1,5;47,0;86;73;dark;psychic;6;0
Binacle;Kameteteカメテテ;Two-Handed Pokémon;52;67;0,5;31,0;42;50;rock;water;6;0
Barbaracle;Gamenodesガメノデス;Collective Pokémon;105;115;1,3;96,0;72;68;rock;water;6;0
Skrelp;Kuzumoクズモー;Mock Kelp Pokémon;60;60;0,5;7,3;50;30;poison;water;6;0
Dragalge;Dramidoroドラミドロ;Mock Kelp Pokémon;75;90;1,8;81,5;65;44;poison;dragon;6;0
Clauncher;Udeppouウデッポウ;Water Gun Pokémon;53;62;0,5;8,3;50;44;water;;6;0
Clawitzer;Blosterブロスター;Howitzer Pokémon;73;88;1,3;35,3;71;59;water;;6;0
Helioptile;Erikiteruエリキテル;Generator Pokémon;38;33;0,5;6,0;44;70;electric;normal;6;0
Heliolisk;Elezardエレザード;Generator Pokémon;55;52;1,0;21,0;62;109;electric;normal;6;0
Tyrunt;Chigorasチゴラス;Royal Heir Pokémon;89;77;0,8;26,0;58;48;rock;dragon;6;0
Tyrantrum;Gachigorasガチゴラス;Despot Pokémon;121;119;2,5;270,0;82;71;rock;dragon;6;0
Amaura;Amarusアマルス;Tundra Pokémon;59;50;1,3;25,2;77;46;rock;ice;6;0
Aurorus;Amarurugaアマルルガ;Tundra Pokémon;77;72;2,7;225,0;123;58;rock;ice;6;0
Sylveon;Nymphiaニンフィア;Intertwining Pokémon;65;65;1,0;23,5;95;60;fairy;;6;0
Hawlucha;Luchabullルチャブル;Wrestling Pokémon;92;75;0,8;21,5;78;118;fighting;flying;6;0
Dedenne;Dedenneデデンネ;Antenna Pokémon;58;57;0,2;2,2;67;101;electric;fairy;6;0
Carbink;Melecieメレシー;Jewel Pokémon;50;150;0,3;5,7;50;50;rock;fairy;6;0
Goomy;Numeraヌメラ;Soft Tissue Pokémon;50;35;0,3;2,8;45;40;dragon;;6;0
Sliggoo;Numeilヌメイル;Soft Tissue Pokémon;75;53;0,8;17,5;68;60;dragon;;6;0
Goodra;Numelgonヌメルゴン;Dragon Pokémon;100;70;2,0;150,5;90;80;dragon;;6;0
Klefki;Cleffyクレッフィ;Key Ring Pokémon;80;91;0,2;3,0;57;75;steel;fairy;6;0
Phantump;Bokureiボクレー;Stump Pokémon;70;48;0,4;7,0;43;38;ghost;grass;6;0
Trevenant;Ohrotオーロット;Elder Tree Pokémon;110;76;1,5;71,0;85;56;ghost;grass;6;0
Pumpkaboo;Bakecchaバケッチャ;Pumpkin Pokémon;66;70;0,8;15,0;59;41;ghost;grass;6;0
Gourgeist;Pumpjinパンプジン;Pumpkin Pokémon;100;122;1,7;39,0;85;54;ghost;grass;6;0
Bergmite;Kachikohruカチコール;Ice Chunk Pokémon;69;85;1,0;99,5;55;28;ice;;6;0
Avalugg;Crebaseクレベース;Iceberg Pokémon;117;184;2,0;505,0;95;28;ice;;6;0
Noibat;Onbatオンバット;Sound Wave Pokémon;30;35;0,5;8,0;40;55;flying;dragon;6;0
Noivern;Onvernオンバーン;Sound Wave Pokémon;70;80;1,5;85,0;85;123;flying;dragon;6;0
Xerneas;Xerneasゼルネアス;Life Pokémon;131;95;3,0;215,0;126;99;fairy;;6;1
Yveltal;Yveltalイベルタル;Destruction Pokémon;131;95;5,8;203,0;126;99;dark;flying;6;1
Zygarde;Zygarde (10% Forme)ジガルデ;Order Pokémon;100;121;5,0;284,6;216;85;dragon;ground;6;1
Diancie;Diancieディアンシー;Jewel Pokémon;160;110;0,7;8,8;50;110;rock;fairy;6;1
Hoopa;Hoopaフーパ;Mischief/Djinn Pokémon;160;60;;;80;80;psychic;ghost;6;1
Volcanion;Volcanionボルケニオン;Steam Pokémon;110;120;1,7;195,0;80;70;fire;water;6;1
Rowlet;Mokurohモクロー;Grass Quill Pokémon;55;55;0,3;1,5;68;42;grass;flying;7;0
Dartrix;Fukuthrowフクスロー;Blade Quill Pokémon;75;75;0,7;16,0;78;52;grass;flying;7;0
Decidueye;Junaiperジュナイパー;Arrow Quill Pokémon;107;75;1,6;36,6;78;70;grass;ghost;7;0
Litten;Nyabbyニャビー;Fire Cat Pokémon;65;40;0,4;4,3;45;70;fire;;7;0
Torracat;Nyaheatニャヒート;Fire Cat Pokémon;85;50;0,7;25,0;65;90;fire;;7;0
Incineroar;Gaogaenガオガエン;Heel Pokémon;115;90;1,8;83,0;95;60;fire;dark;7;0
Popplio;Ashimariアシマリ;Sea Lion Pokémon;54;54;0,4;7,5;50;40;water;;7;0
Brionne;Osyamariオシャマリ;Pop Star Pokémon;69;69;0,6;17,5;60;50;water;;7;0
Primarina;Ashireneアシレーヌ;Soloist Pokémon;74;74;1,8;44,0;80;60;water;fairy;7;0
Pikipek;Tsutsukeraツツケラ;Woodpecker Pokémon;75;30;0,3;1,2;35;65;normal;flying;7;0
Trumbeak;Kerarappaケララッパ;Bugle Beak Pokémon;85;50;0,6;14,8;55;75;normal;flying;7;0
Toucannon;Dodekabashiドデカバシ;Cannon Pokémon;120;75;1,1;26,0;80;60;normal;flying;7;0
Yungoos;Youngooseヤングース;Loitering Pokémon;70;30;0,4;6,0;48;45;normal;;7;0
Gumshoos;Dekagooseデカグース;Stakeout Pokémon;110;60;0,7;14,2;88;45;normal;;7;0
Grubbin;Agojimushiアゴジムシ;Larva Pokémon;62;45;0,4;4,4;47;46;bug;;7;0
Charjabug;Dendimushiデンヂムシ;Battery Pokémon;82;95;0,5;10,5;57;36;bug;electric;7;0
Vikavolt;Kuwagannonクワガノン;Stag Beetle Pokémon;70;90;1,5;45,0;77;43;bug;electric;7;0
Crabrawler;Makenkaniマケンカニ;Boxing Pokémon;82;57;0,6;7,0;47;63;fighting;;7;0
Crabominable;Kekenkaniケケンカニ;Woolly Crab Pokémon;132;77;1,7;180,0;97;43;fighting;ice;7;0
Oricorio;Odoridori (pachipachi Style)オドリドリ;Dancing Pokémon;70;70;0,6;3,4;75;93;fire;flying;7;0
Cutiefly;Abulyアブリー;Bee Fly Pokémon;45;40;0,1;0,2;40;84;bug;fairy;7;0
Ribombee;Aburibbonアブリボン;Bee Fly Pokémon;55;60;0,2;0,5;60;124;bug;fairy;7;0
Rockruff;Iwankoイワンコ;Puppy Pokémon;65;40;0,5;9,2;45;60;rock;;7;0
Lycanroc;Lugarugan (mahiru No Sugata)ルガルガン;Wolf Pokémon;115;75;;;85;82;rock;;7;0
Wishiwashi;Yowashi (tandoku No Sugata)ヨワシ;Small Fry Pokémon;140;130;0,2;0,3;45;30;water;;7;0
Mareanie;Hidoideヒドイデ;Brutal Star Pokémon;53;62;0,4;8,0;50;45;poison;water;7;0
Toxapex;Dohidoideドヒドイデ;Brutal Star Pokémon;63;152;0,7;14,5;50;35;poison;water;7;0
Mudbray;Dorobankoドロバンコ;Donkey Pokémon;100;70;1,0;110,0;70;45;ground;;7;0
Mudsdale;Banbadoroバンバドロ;Draft Horse Pokémon;125;100;2,5;920,0;100;35;ground;;7;0
Dewpider;Shizukumoシズクモ;Water Bubble Pokémon;40;52;0,3;4,0;38;27;water;bug;7;0
Araquanid;Onishizukumoオニシズクモ;Water Bubble Pokémon;70;92;1,8;82,0;68;42;water;bug;7;0
Fomantis;Karikiriカリキリ;Sickle Grass Pokémon;55;35;0,3;1,5;40;35;grass;;7;0
Lurantis;Lalantesラランテス;Bloom Sickle Pokémon;105;90;0,9;18,5;70;45;grass;;7;0
Morelull;Nemasyuネマシュ;Illuminating Pokémon;35;55;0,2;1,5;40;15;grass;fairy;7;0
Shiinotic;Mashadeマシェード;Illuminating Pokémon;45;80;1,0;11,5;60;30;grass;fairy;7;0
Salandit;Yatoumoriヤトウモリ;Toxic Lizard Pokémon;44;40;0,6;4,8;48;77;poison;fire;7;0
Salazzle;Ennewtエンニュート;Toxic Lizard Pokémon;64;60;1,2;22,2;68;117;poison;fire;7;0
Stufful;Nuikogumaヌイコグマ;Flailing Pokémon;75;50;0,5;6,8;70;50;normal;fighting;7;0
Bewear;Kiterugumaキテルグマ;Strong Arm Pokémon;125;80;2,1;135,0;120;60;normal;fighting;7;0
Bounsweet;Amakajiアマカジ;Fruit Pokémon;30;38;0,3;3,2;42;32;grass;;7;0
Steenee;Amamaikoアママイコ;Fruit Pokémon;40;48;0,7;8,2;52;62;grass;;7;0
Tsareena;Amajoアマージョ;Fruit Pokémon;120;98;1,2;21,4;72;72;grass;;7;0
Comfey;Cuwawaキュワワー;Posy Picker Pokémon;52;90;0,1;0,3;51;100;fairy;;7;0
Oranguru;Yareyuutanヤレユータン;Sage Pokémon;60;80;1,5;76,0;90;60;normal;psychic;7;0
Passimian;Nagetukesaruナゲツケサル;Teamwork Pokémon;120;90;2,0;82,8;100;80;fighting;;7;0
Wimpod;Kosokumushiコソクムシ;Turn Tail Pokémon;35;40;0,5;12,0;25;80;bug;water;7;0
Golisopod;Gusokumushaグソクムシャ;Hard Scale Pokémon;125;140;2,0;108,0;75;40;bug;water;7;0
Sandygast;Sunabaスナバァ;Sand Heap Pokémon;55;80;0,5;70,0;55;15;ghost;ground;7;0
Palossand;Sirodethnaシロデスナ;Sand Castle Pokémon;75;110;1,3;250,0;85;35;ghost;ground;7;0
Pyukumuku;Namakobushiナマコブシ;Sea Cucumber Pokémon;60;130;0,3;1,2;55;5;water;;7;0
Type: Null;Type: Nullタイプ：ヌル;Synthetic Pokémon;95;95;1,9;120,5;95;59;normal;;7;0
Silvally;Silvadyシルヴァディ;Synthetic Pokémon;95;95;2,3;100,5;95;95;normal;;7;0
Minior;Metenoメテノ;Meteor Pokémon;100;60;0,3;40,0;60;120;rock;flying;7;0
Komala;Nekkoaraネッコアラ;Drowsing Pokémon;115;65;0,4;19,9;65;65;normal;;7;0
Turtonator;Bakugamesバクガメス;Blast Turtle Pokémon;78;135;2,0;212,0;60;36;fire;dragon;7;0
Togedemaru;Togedemaruトゲデマル;Roly-Poly Pokémon;98;63;0,3;3,3;65;96;electric;steel;7;0
Mimikyu;Mimikkyuミミッキュ;Disguise Pokémon;90;80;0,2;0,7;55;96;ghost;fairy;7;0
Bruxish;Hagigishiriハギギシリ;Gnash Teeth Pokémon;105;70;0,9;19,0;68;92;water;psychic;7;0
Drampa;Jijilongジジーロン;Placid Pokémon;60;85;3,0;185,0;78;36;normal;dragon;7;0
Dhelmise;Dadarinダダリン;Sea Creeper Pokémon;131;100;3,9;210,0;70;40;ghost;grass;7;0
Jangmo-o;Jyarakoジャラコ;Scaly Pokémon;55;65;0,6;29,7;45;45;dragon;;7;0
Hakamo-o;Jyarangoジャランゴ;Scaly Pokémon;75;90;1,2;47,0;55;65;dragon;fighting;7;0
Kommo-o;Jyararangaジャラランガ;Scaly Pokémon;110;125;1,6;78,2;75;85;dragon;fighting;7;0
Tapu Koko;Kapu-kokekoカプ・コケコ;Land Spirit Pokémon;115;85;1,8;20,5;70;130;electric;fairy;7;1
Tapu Lele;Kapu-tetefuカプ・テテフ;Land Spirit Pokémon;85;75;1,2;18,6;70;95;psychic;fairy;7;1
Tapu Bulu;Kapu-bululカプ・ブルル;Land Spirit Pokémon;130;115;1,9;45,5;70;75;grass;fairy;7;1
Tapu Fini;Kapu-rehireカプ・レヒレ;Land Spirit Pokémon;75;115;1,3;21,2;70;85;water;fairy;7;1
Cosmog;Cosmogコスモッグ;Nebula Pokémon;29;31;0,2;0,1;43;37;psychic;;7;1
Cosmoem;Cosmovumコスモウム;Protostar Pokémon;29;131;0,1;999,9;43;37;psychic;;7;1
Solgaleo;Solgaleoソルガレオ;Sunne Pokémon;137;107;3,4;230,0;137;97;psychic;steel;7;1
